message,report_time,disaster_category,information_type,report_classification,timestamp
C6AD10858B80034C00000B14052D61895E011260000000000000001239C6498,2024-01-01T12:23:00.000Z,震源,発表,優先,2024-01-01T21:23:39+09:00
9AAD18858B800058A2440000000000000000000000000000000000137587FA8,2024-01-01T12:23:00.000Z,震度,発表,優先,2024-01-01T21:23:59+09:00
9AAD1885C280005C1F469F1089351AA9C4DA6932984BA29169D44811EA37778,2024-01-01T14:05:00.000Z,震度,発表,優先,2024-01-01T23:05:59+09:00
C6AD1885C280005C1A210E864B27C0000000000000000000000000104269DBC,2024-01-01T14:05:00.000Z,震度,発表,優先,2024-01-01T23:06:39+09:00
9AAD1885C6C0005C1F469F1089351AA9C4DA6932984BA29169D44813C113F48,2024-01-01T14:13:00.000Z,震度,取消,優先,2024-01-01T23:13:59+09:00
53AD1885C6C0005C1A210E864B27C0000000000000000000000000110D9BB00,2024-01-01T14:13:00.000Z,震度,取消,優先,2024-01-01T23:14:19+09:00
C6AD1085D580034C00000B9E052B61894C0111500000000000000013119CF64,2024-01-01T14:43:00.000Z,震源,発表,優先,2024-01-01T23:43:39+09:00
9AAD1885D580005CF24400000000000000000000000000000000001045F4758,2024-01-01T14:43:00.000Z,震度,発表,優先,2024-01-01T23:43:59+09:00
C6AD1885E500005E424400000000000000000000000000000000001045161F0,2024-01-01T15:10:00.000Z,震度,発表,優先,2024-01-02T00:10:39+09:00
C6AD1085E580034C00000BC8052D61895E011290000000000000001022C9AA4,2024-01-01T15:11:00.000Z,震源,発表,優先,2024-01-02T00:11:39+09:00
9AAD1885E580005E424400000000000000000000000000000000001153AA8CC,2024-01-01T15:11:00.000Z,震度,発表,優先,2024-01-02T00:11:59+09:00
53ADA886078001ECF88427FF23C1FFC9547FF2555FFC95E7FF25A0106A7B40C,2024-01-01T16:15:00.000Z,津波,発表,通常,2024-01-02T01:15:43+09:00
C6ADA886078001ECF88427FF25A5FFC9727FF2820000000000000011BB7696C,2024-01-01T16:15:00.000Z,津波,発表,通常,2024-01-02T01:16:03+09:00
C6ADA8862F000198F67C27FF23C1FFC9547FF2555FFC95E7FF25A012DC6F084,2024-01-01T17:30:00.000Z,津波,発表,通常,2024-01-02T02:31:03+09:00
